CIN,COUT,FLOPS,PARAMS,LATENCY,model_path
1860,1000,1.8605,3.721,0.213894,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_PUCM4B.tflite
1863,1000,1.8635,3.727,0.216625,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_HS1PSF.tflite
1872,1000,1.8725,3.745,0.21776099999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_9GSK4J.tflite
1886,1000,1.8865,3.773,0.222541,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_ZMWLFM.tflite
1886,1000,1.8865,3.773,0.218864,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_NGT371.tflite
1892,1000,1.8925,3.785,0.222108,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_9NRXHA.tflite
1899,1000,1.8995,3.799,0.215931,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_10YME1.tflite
1926,1000,1.9265,3.853,0.229284,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_FDWQX3.tflite
1936,1000,1.9365,3.873,0.22755799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_MS3S65.tflite
1939,1000,1.9395,3.879,0.227835,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_QZ2VWR.tflite
1957,1000,1.9575,3.915,0.230217,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_244F8X.tflite
1972,1000,1.9725,3.945,0.229595,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_ZK0ETB.tflite
1998,1000,1.9985,3.997,0.233512,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_UUEZXS.tflite
2017,1000,2.0175,4.035,0.24147900000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_LPKTG9.tflite
2032,1000,2.0325,4.065,0.24073599999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_DOE0M2.tflite
